"","time","open","high","low","close","volume","amount","trades","volumsOFbuy","amountOFbuy","changeDir","fluct_pct"
"17",2018-01-18,10972.59,11878.82,10435.33,10961.97,48464.434937,541289614.058405,393112,23814.382845,266091805.665227,"down",13.83
"18",2018-01-19,10960,11795,10360,11474.98,34129.375421,382773499.226579,273271,16871.416355,189259676.892222,"up",13.85
"19",2018-01-20,11474.98,13099,11412.45,12799.94,28768.857827,358561107.78097,251647,14389.196005,179183657.904707,"up",14.78
"20",2018-01-21,12799.8,12799.8,10965,11530,41379.773426,485289230.818892,360207,20574.760061,241154449.981835,"down",16.73
"21",2018-01-22,11530,11926.35,9900.24,10760.05,43752.606791,475716514.208697,363264,21300.575828,231677479.125622,"down",20.47
"22",2018-01-23,10760.05,11399,9905,10799.18,37473.922552,399419413.232981,355286,18747.793828,199899519.2733,"up",15.08
"23",2018-01-24,10799.14,11570.48,10500,11349.99,27158.587762,299470607.4302,293429,13087.393088,144335221.625402,"up",10.2
"24",2018-01-25,11349.96,11794.05,10950.21,11175.27,20839.954183,236081364.973652,221040,10201.386919,115584688.247335,"down",7.71
"25",2018-01-26,11184.7,11643,10311.15,11089,33056.87196,360482470.173754,314720,15330.789553,167328952.393302,"down",12.92
"26",2018-01-27,11089,11650,10842.69,11491,18860.768345,212663199.533482,207478,9208.937963,103935891.796163,"up",7.45
"27",2018-01-28,11499.98,12244,11408,11879.95,16887.339524,200211582.943454,206247,7342.786997,87011013.8320475,"up",7.33
"28",2018-01-29,11879.95,11975.02,11139.55,11251,14170.377538,162110154.878804,169199,6016.496871,68819972.5230875,"down",7.5
"29",2018-01-30,11250.11,11308.42,9900,10237.51,25554.372946,268978329.508615,259212,11388.096419,119864289.071031,"down",14.23
"30",2018-01-31,10230,10425.85,9700,10285.1,18015.956805,181644207.113163,201422,8782.584442,88609272.6422879,"up",7.48
"31",2018-02-01,10285.1,10335,8750.99,9224.52,33564.764311,317636345.984371,316020,15430.003849,146130725.870475,"down",18.1
"32",2018-02-02,9224.52,9250,8010.02,8873.03,49971.626975,434236483.704487,453411,23113.503584,201292749.515099,"down",15.48
"33",2018-02-03,8873.03,9473.01,8229,9199.96,28725.000735,256834729.059911,327519,14182.838146,127068644.496049,"up",15.12
"34",2018-02-04,9199.96,9368,7930,8184.81,32014.308449,274912288.421322,356134,13805.29579,118884553.209362,"down",18.13
"35",2018-02-05,8179.99,8382.8,6625,6939.99,63403.182579,471166218.713447,533510,29857.35839,222022401.016924,"down",26.53
"36",2018-02-06,6939.63,7878,6000.01,7652.14,100201.500307,684364276.366669,785996,49565.020794,339117633.408855,"up",31.3
"37",2018-02-07,7655.02,8476,7150.01,7599,60778.460497,477935038.811777,514893,30084.836266,237137973.453139,"down",18.55
"38",2018-02-08,7599,7844,7572.09,7784.02,1521.537318,11770168.043866,12417,844.258813,6532638.63751892,"up",3.59
"39",2018-02-09,7789.9,8738,7789.9,8683.92,20482.910825,173348469.811879,273091,10404.040792,88117562.120965,"up",12.17
"40",2018-02-10,8683.93,9065.78,8120,8533.98,49381.512653,423411421.93098,537578,24506.723294,210253734.380655,"down",11.65
"41",2018-02-11,8533.99,8549,7726.53,8063.88,45025.187952,366966437.249889,524626,23180.34192,188849914.349958,"down",10.64
"42",2018-02-12,8063.82,8989,8053,8903,41987.85049,362440826.994377,477660,20916.949742,180528457.554585,"up",11.62
"43",2018-02-13,8903,8950,8351,8539.9,35454.972956,305165143.696923,401893,16558.45568,142530987.439302,"down",7.17
"44",2018-02-14,8535.17,9489.6,8533,9449.99,40811.952867,370126692.728233,514897,20508.463444,185896385.025911,"up",11.21
"45",2018-02-15,9449.98,10219.5,9301.5,10000.09,52427.596715,512388484.731783,608349,25805.098892,252255267.883568,"up",9.87
"46",2018-02-16,10000.89,10323.37,9666,10159.98,38161.205974,381103299.223885,405310,18313.004466,182947133.888682,"up",6.8
"47",2018-02-17,10156.07,11075.07,10050,11039.55,41882.108407,446012696.169267,413585,21147.624789,225229265.725636,"up",10.2
"48",2018-02-18,11039.55,11274,10080,10383.43,61137.380728,649423311.310023,537534,29593.863774,314511909.489331,"down",11.85
"49",2018-02-19,10375.01,11250,10270.33,11153,40831.417131,443766562.683066,366882,20619.877129,224193685.437953,"up",9.54
"50",2018-02-20,11147.11,11786.01,11100.59,11200.99,48153.354288,551573232.242959,432197,24211.49181,277480902.014119,"up",6.17
"51",2018-02-21,11195.07,11304.03,10200,10437.6,68113.818754,731537130.492186,542340,32338.074002,347436564.666544,"down",10.82
"52",2018-02-22,10439.02,10933.44,9679,9811.04,67060.166483,682006373.869588,506273,33029.297624,336067441.632506,"down",12.96
"53",2018-02-23,9815.55,10435,9570.19,10131.04,57202.70237,571800753.470976,467480,28031.011368,280171693.072971,"up",9.04
"54",2018-02-24,10131.04,10496.97,9352,9694.51,40888.156299,405618586.648038,337918,18646.870961,185164883.451717,"down",12.24
"55",2018-02-25,9694.51,9847,9274.8,9590,28373.517586,271286599.126086,233567,13956.661533,133525539.448821,"down",6.17
"56",2018-02-26,9590,10444.32,9350,10324,34878.292756,347559259.738452,285276,17045.768706,169936003.387616,"up",11.7
"57",2018-02-27,10321,10870,10121,10569.04,30705.385123,324295371.141466,240542,15187.083738,160450471.455768,"up",7.4
"58",2018-02-28,10584.33,11098,10300,10326.76,30800.983782,327914696.130675,277886,14412.84633,153537202.101965,"down",7.75
"59",2018-03-01,10325.64,11060.41,10240,10920,25092.55393,268172535.381129,230428,12785.4045,136788817.231583,"up",8.01
"60",2018-03-02,10923.36,11200,10770,11039,23910.71009,262936307.007858,211691,11893.333632,130864918.823075,"up",3.99
"61",2018-03-03,11038.99,11544,11015.01,11464.48,21287.15328,241749497.902472,190444,10842.682784,123142920.223149,"up",4.8
"62",2018-03-04,11464.47,11565,11050.02,11515,17295.918653,194849579.125021,168359,8197.401595,92437014.4639347,"up",4.66
"63",2018-03-05,11515,11710,11415.01,11454,15144.231063,174866951.398065,164318,7668.823714,88588986.3365785,"down",2.58
"64",2018-03-06,11455,11455,10555.48,10716.48,29515.572363,323842216.648596,250306,13482.297196,147874120.622321,"down",8.52
"65",2018-03-07,10716.48,10899,9389.31,9910,50647.67108,514808033.487921,396721,24022.451231,244164771.360096,"down",16.08
"66",2018-03-08,9910,10099,9060,9271.64,41109.473226,394641280.638437,336514,20257.455838,194608716.935039,"down",11.47
"67",2018-03-09,9267.07,9410,8329,9227,64112.291407,567082901.13194,462712,31166.414848,275735446.01076,"down",12.98
"68",2018-03-10,9230,9490,8667.07,8770.22,37180.012857,341210248.414818,288066,17639.827276,161991786.13433,"down",9.49
"69",2018-03-11,8770.22,9740,8450,9533.57,44325.973386,403491260.927532,333367,21150.206944,192897625.611466,"up",15.27
"70",2018-03-12,9533.57,9888.88,8780,9131.34,42230.77793,395562731.865037,336642,19369.697756,181454623.856224,"down",12.63
"71",2018-03-13,9131.34,9474,8823,9150,40191.409358,367353984.713284,342734,19856.457047,181534440.775295,"up",7.38
"72",2018-03-14,9151.92,9333.78,7900.28,8170,49708.094108,426058009.755946,399127,22883.329725,196344166.248423,"down",18.14
"73",2018-03-15,8184.01,8430,7650,8240.98,52291.022277,422130717.473101,400529,26414.160251,213358245.674402,"up",10.2
"74",2018-03-16,8240.98,8611.64,7900,8260,38815.409893,322355002.165195,255807,20049.433993,166563494.40168,"up",9.01
"75",2018-03-17,8260,8348.62,7721.99,7824.8,33110.206329,265973111.617629,292041,15677.257361,125987772.433251,"down",8.11
"76",2018-03-18,7824.01,8317.4,7322,8189.99,59488.231711,458311733.51882,423336,28216.510794,217530802.619825,"up",13.59
"77",2018-03-19,8189,8705.23,8088.4,8600,55297.084942,462654338.982128,360414,27263.324764,228208487.546902,"up",7.63
"78",2018-03-20,8595.01,9050,8280,8909.98,44865.105835,387879393.470614,298261,22849.035238,197422831.300823,"up",9.3
"79",2018-03-21,8909.96,9177.01,8750.6,8885,39972.405371,358157473.361232,293696,19047.486799,170758402.397235,"down",4.87
"80",2018-03-22,8884.82,9100,8465.1,8722.9,40617.556809,354804129.343309,276449,19567.563618,171050710.2125,"down",7.5
"81",2018-03-23,8720,8909,8269,8898.03,39991.007666,340755592.544531,278571,20106.789387,171487640.929076,"up",7.74
"82",2018-03-24,8898.04,8999.95,8491,8546.86,35466.609572,313254829.905137,270300,17302.10809,152967779.86487,"down",5.99
"83",2018-03-25,8531.25,8669.85,8365.77,8470.15,29001.769316,247023172.307955,215660,14379.264362,122528263.982816,"down",3.63
